session_id,turn_number,pool_depth,gt_rank,rr,rr@100,rr@200,rr@500,rr@1000,hit@1,hit@5,hit@10,hit@20,hit@50,hit@100,hit@200,hit@500,hit@1000,ndcg@1,ndcg@5,ndcg@10,ndcg@20,ndcg@50,ndcg@100,ndcg@200,ndcg@500,ndcg@1000,recall@1,recall@5,recall@10,recall@20,recall@50,recall@100,recall@200,recall@500,recall@1000
0681d55b-98a0-4773-a9df-075a8050d805,1,1000,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0681d55b-98a0-4773-a9df-075a8050d805,2,1000,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1,1,1,1,1,1,1,1,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0681d55b-98a0-4773-a9df-075a8050d805,3,1000,5.0,0.2,0.2,0.2,0.2,0.2,0,1,1,1,1,1,1,1,1,0.0,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0681d55b-98a0-4773-a9df-075a8050d805,4,1000,4.0,0.25,0.25,0.25,0.25,0.25,0,1,1,1,1,1,1,1,1,0.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0681d55b-98a0-4773-a9df-075a8050d805,5,1000,4.0,0.25,0.25,0.25,0.25,0.25,0,1,1,1,1,1,1,1,1,0.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0681d55b-98a0-4773-a9df-075a8050d805,6,1000,13.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0,0,0,1,1,1,1,1,1,0.0,0.0,0.0,0.26264953503719357,0.26264953503719357,0.26264953503719357,0.26264953503719357,0.26264953503719357,0.26264953503719357,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0681d55b-98a0-4773-a9df-075a8050d805,7,1000,2.0,0.5,0.5,0.5,0.5,0.5,0,1,1,1,1,1,1,1,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0681d55b-98a0-4773-a9df-075a8050d805,8,1000,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37097db6-54b8-491b-8512-1df70648548b,1,1000,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37097db6-54b8-491b-8512-1df70648548b,2,1000,70.0,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0,0,0,0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.16260831227163416,0.16260831227163416,0.16260831227163416,0.16260831227163416,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
